decay_rate,alpha,gamma,val_loss,val_accuracy,sparsity
1.0,0.0035554076500256848,0.0001706108981651002,0.1985750726064046,0.9465833333333333,0.12222691287869802
0.7912342618981322,0.0038827804461803684,0.0029472128524035525,0.982196920077006,0.69025,0.12826995413170417
0.626051657201482,0.019334348662874055,0.00012476176275458544,2.302263353983561,0.10916666666666666,0.1301530682427272
0.49535352089591705,0.00025821252760742055,0.00020535853767688692,2.3025848865509033,0.09908333333333333,1.0
0.39194067748472194,0.13351107920399305,0.3991537404425075,2.3025848865509033,0.09908333333333333,1.0
0.3101168926574778,0.008164021492087736,0.11269119850367706,2.3025848865509033,0.09908333333333333,1.0
0.24537511066398174,0.0006606766218429015,0.0015139843936755786,2.3025848865509033,0.09908333333333333,1.0
0.19414919457438806,0.012214998219136984,0.002001957060554918,2.3025848865509033,0.09908333333333333,1.0
0.1536174946671828,0.3332213034825153,0.00830574010831756,2.3025848865509033,0.09908333333333333,1.0
0.12154742500762866,0.0019530330578437123,0.015205762917548745,2.3025848865509033,0.09908333333333333,1.0
0.09617248711152965,0.013112390880363228,0.11861119303502217,2.3025848865509033,0.09908333333333333,1.0
0.07609496685459875,0.3131009008095876,0.29141402218563806,2.3025830141703287,0.09908333333333333,0.9999976283197595
0.060208944933361284,0.3821130461206409,0.040611868825604726,2.3123330624898273,0.08441666666666667,0.9999928849592783
0.047639380104013404,0.001864618480408544,0.0031144992033395125,2.3025848865509033,0.09908333333333333,1.0
0.0376939097538836,0.01145915808254168,0.0009071110395027282,2.3025848865509033,0.09908333333333333,1.0
0.029824712862168895,0.09716039667278364,0.0007656491419210915,2.3034724235534667,0.10625,0.9999976283197595
0.02359833466782194,0.08339073650954401,0.06122711441627573,2.301576566696167,0.10916666666666666,0.9999952566395188
0.018671810912919196,0.002883117373913463,0.01631882779439542,2.3025848865509033,0.09908333333333333,1.0
0.014773776525985112,0.12374146877898376,0.43861242151979896,2.30257657178243,0.09908333333333333,0.9999952566395188
0.011689518164985776,0.0005244935999642609,0.00016683337703879932,2.3025848865509033,0.09908333333333333,1.0
0.009249147277217335,0.03782863498945677,0.00012389847350806197,2.3025848865509033,0.09908333333333333,1.0
0.007318242219076174,0.041428183898974964,0.19501278956569076,1.0178015478452047,0.7044166666666667,0.9996323895627096
0.005790443980602483,0.05725321498611404,0.017306518696922662,2.30257115427653,0.10916666666666666,0.9999952566395188
0.004581597669054491,0.03283957615228246,0.0009056096010836843,0.3088683420419693,0.8970833333333333,0.99833270879087
0.0036251170499885317,0.044570818184002034,0.01806211363141584,1.5054873237609863,0.426,0.9997865487783475
0.002868316813342009,0.026026018870436964,0.01187623523953655,2.3025848865509033,0.09908333333333333,1.0
0.0022695105366946685,0.02577332548596033,0.00011669165517296975,0.7003835786183675,0.7920833333333334,0.9995375223530862
0.001795714494371639,0.02343219846614254,0.24068804334036673,2.302434871673584,0.1055,0.9999928849592783
